title,date,time,venue,city,price,event_url,organizer,platform
Transportation in NY Summit 2025,2025-10-28,9:00 AM,630SECOND,Murray Hill,,https://www.eventbrite.com/e/transportation-in-ny-summit-2025-tickets-1642062225319?aff=ebdssbdestsearch,,Eventbrite
Haiti Tech Summit 9th Annual Edition (UNGA Week),2025-10-30,11:00 AM,Hell's Kitchen,New York,,https://www.eventbrite.com/e/haiti-tech-summit-9th-annual-edition-unga-week-tickets-1049165049907?aff=ebdssbdestsearch,,Eventbrite
"NYC Tech Connect: Networking for Tech Startups, Investors, Professionals",2025-10-14,7:00 PM,Midtown West · 8 W 26th St,New York,,https://www.eventbrite.com/e/nyc-tech-connect-networking-for-tech-startups-investors-professionals-tickets-1671337618809?aff=ebdssbdestsearch,,Eventbrite
Tech and Business Networking | Elevating Your Potential - FiDi (Rooftop!),2025-10-22,6:00 PM,Financial District · Highwater Rooftop,New York,,https://www.eventbrite.com/e/tech-and-business-networking-elevating-your-potential-fidi-rooftop-tickets-1568313972309?aff=ebdssbdestsearch,,Eventbrite
Energy New York Awards 2025,2025-10-29,6:00 PM,Chelsea · Town Hall,New York,,https://www.eventbrite.com/e/energy-new-york-awards-2025-tickets-1629037558189?aff=ebdssbdestsearch,,Eventbrite
"Disrupting Wall Street: Technology, Deregulation, and the Future of Finance",2025-10-21,9:00 AM,Midtown West · 12 W 39th St,New York,,https://www.eventbrite.com/e/disrupting-wall-street-technology-deregulation-and-the-future-of-finance-tickets-1681015515659?aff=ebdssbdestsearch,,Eventbrite
AI Implementation in Business | New York City,2025-10-22,1:00 PM,City Hall Area · New York,New York,,https://www.eventbrite.com/e/ai-implementation-in-business-new-york-city-tickets-1012558980167?aff=ebdssbdestsearch,,Eventbrite
Certified Blockchain Associate | New York City,2025-10-24,10:00 AM,City Hall Area,New York,,https://www.eventbrite.com/e/certified-blockchain-associate-new-york-city-tickets-331596884207?aff=ebdssbdestsearch,,Eventbrite
Women in Tech NYC 2025,2025-10-30,6:00 PM,Williamsburg,New York,,https://www.eventbrite.com/e/women-in-tech-nyc-2025-tickets-1748907071129?aff=ebdssbdestsearch,,Eventbrite
Break into Tech - New York City,2025-10-30,6:30 PM,Midtown West,New York,,https://www.eventbrite.com/e/break-into-tech-new-york-city-tickets-1664452525309?aff=ebdssbdestsearch,,Eventbrite
Material ConneXion: NYC Marathon Event,2025-10-31,10:00 AM,Midtown West · Material ConneXion,New York,,https://www.eventbrite.com/e/material-connexion-nyc-marathon-event-tickets-1657556037729?aff=ebdssbdestsearch,,Eventbrite
Connected & Protected: Making Smart Choices in Digital Spaces,2025-10-15,2:00 PM,Midtown East,New York,,https://www.eventbrite.com/e/connected-protected-making-smart-choices-in-digital-spaces-tickets-1661362282309?aff=ebdssbdestsearch,,Eventbrite
Spatial Data Science Conference New York 2025,2025-10-15,8:00 AM,Morningside Heights,New York,,https://www.eventbrite.ca/e/spatial-data-science-conference-new-york-2025-tickets-1279047087269?aff=ebdssbdestsearch,,Eventbrite
Engineering and Business Networking -FiDi (Rooftop!),2025-10-22,6:00 PM,Financial District,New York,,https://www.eventbrite.com/e/engineering-and-business-networking-fidi-rooftop-tickets-1568340591929?aff=ebdssbdestsearch,,Eventbrite
