title,url,date,time,location,platform,categories,query_relevance,source,scraped_at
Discover Events,https://lu.ma/discover?location=New%20York%20City,,,,luma_nyc,general,0,firecrawl_scraped,2025-10-23T19:41:17.245433
"Popular Events    Washington, DC",https://lu.ma/discover?location=New%20York%20City,,,,luma_nyc,general,0,firecrawl_scraped,2025-10-23T19:41:17.245564
Matcha & Vintage \| Dimatchai Pop-Up at KALEIDOS,https://lu.ma/discover?location=New%20York%20City,"Sat, Oct 25",11:00 AM,,luma_nyc,ai_events,1,firecrawl_scraped,2025-10-23T19:41:17.245754
"Sat, Oct 25, 11:00 AM",https://lu.ma/discover?location=New%20York%20City,"Sat, Oct 25",11:00 AM,,luma_nyc,general,0,firecrawl_scraped,2025-10-23T19:41:17.245817
Wayback to the Future: Celebrating the Open Web,https://lu.ma/discover?location=New%20York%20City,"Mon, Oct 27",5:00 PM,,luma_nyc,general,0,firecrawl_scraped,2025-10-23T19:41:17.245997
"Mon, Oct 27, 5:00 PM",https://lu.ma/discover?location=New%20York%20City,"Mon, Oct 27",5:00 PM,,luma_nyc,general,0,firecrawl_scraped,2025-10-23T19:41:17.246058
Riggs Library,https://lu.ma/discover?location=New%20York%20City,"Mon, Oct 27",5:00 PM,,luma_nyc,general,0,firecrawl_scraped,2025-10-23T19:41:17.246125
GTC DC: AI Pioneers Cocktail Reception,https://lu.ma/discover?location=New%20York%20City,"Mon, Oct 27",7:00 PM,,luma_nyc,ai_events,1,firecrawl_scraped,2025-10-23T19:41:17.246292
"Mon, Oct 27, 7:00 PM",https://lu.ma/discover?location=New%20York%20City,"Mon, Oct 27",7:00 PM,,luma_nyc,general,0,firecrawl_scraped,2025-10-23T19:41:17.246378
Agents for Impact - Hackathon at Howard University,https://lu.ma/discover?location=New%20York%20City,"Tue, Oct 28",5:30 PM,,luma_nyc,workshops,1,firecrawl_scraped,2025-10-23T19:41:17.246554
"Tue, Oct 28, 5:30 PM",https://lu.ma/discover?location=New%20York%20City,"Tue, Oct 28",5:30 PM,,luma_nyc,general,0,firecrawl_scraped,2025-10-23T19:41:17.246632
Defense Tech DC 008,https://lu.ma/discover?location=New%20York%20City,"Tue, Oct 28",5:30 PM,,luma_nyc,tech_meetups,1,firecrawl_scraped,2025-10-23T19:41:17.246781
"Tue, Oct 28, 5:30 PM",https://lu.ma/discover?location=New%20York%20City,"Tue, Oct 28",5:30 PM,,luma_nyc,general,0,firecrawl_scraped,2025-10-23T19:41:17.246844
Data Lightning Talks!,https://lu.ma/discover?location=New%20York%20City,"Tue, Oct 28",6:00 PM,,luma_nyc,general,0,firecrawl_scraped,2025-10-23T19:41:17.246907
"Tue, Oct 28, 6:00 PM",https://lu.ma/discover?location=New%20York%20City,"Tue, Oct 28",6:00 PM,,luma_nyc,general,0,firecrawl_scraped,2025-10-23T19:41:17.246957
2112 Pennsylvania Ave NW,https://lu.ma/discover?location=New%20York%20City,"Tue, Oct 28",6:00 PM,,luma_nyc,general,0,firecrawl_scraped,2025-10-23T19:41:17.247006
Browse by Category,https://lu.ma/discover?location=New%20York%20City,,,,luma_nyc,general,0,firecrawl_scraped,2025-10-23T19:41:17.247076
1K Events](https://luma.com/tech?k=t) [![](https://images.lumacdn.com/discovery/food-icon.png)\\,https://lu.ma/discover?location=New%20York%20City,,,,luma_nyc,tech_meetups,1,firecrawl_scraped,2025-10-23T19:41:17.247151
