platform,url,response_time_ms,events_found,success,content_length
luma_nyc,https://lu.ma/discover?location=New%20York%20City,763.12,58,True,9698
luma_sf,https://lu.ma/discover?location=San%20Francisco,689.99,58,True,9698
luma_chicago,https://lu.ma/discover?location=Chicago,653.46,58,True,9698
luma_austin,https://lu.ma/discover?location=Austin,659.45,74,True,14599
luma_la,https://lu.ma/discover?location=Los%20Angeles,744.82,58,True,11072
eventbrite_nyc,https://www.eventbrite.com/d/ny--new-york/tech-events/,875.88,122,True,40287
eventbrite_sf,https://www.eventbrite.com/d/san-francisco/tech-events/,852.29,112,True,42088
eventbrite_chicago,https://www.eventbrite.com/d/chicago/tech-events/,727.33,115,True,41843
meetup_nyc,https://www.meetup.com/find/?location=us--ny--new-york&source=EVENTS,738.57,51,True,7883
meetup_sf,https://www.meetup.com/find/?location=us--ca--san-francisco&source=EVENTS,5262.22,51,True,8007
