query_number,query_text,top_results
1,Is there any AI event happening on October 19 at 9 AM in New York City?,"• Matcha Vintage \ Dimatchai Pop-Up at KALEIDOS (Sat, Oct 25) - [Luma Nyc Discovery Page]
• GTC DC AI Pioneers Cocktail Reception (Mon, Oct 27) - [Luma Nyc Discovery Page]"
2,Find all sustainability workshops scheduled in San Francisco between October 18 and 22.,• No clear event titles found
3,Are there any climate change awareness events this weekend in Chicago?,"• Chicago · Joy District (Fri, Nov 14) - https://www.eventbrite.com/d/chicago/tech-events/
• Chicago · Joy District (Fri, Nov 14) - https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.c...
• Chicago · Host women in tech in your HQ (Thu, Nov 13) - https://www.eventbrite.com/e/outgeek-women-in-t...
• Chicago · Host women in tech in your HQ (Thu, Nov 13) - https://www.eventbrite.com/e/outgeek-women-in-t...
• Chicago · Kubo Chicago (Wed, Nov 26) - https://www.eventbrite.com/e/tech-networking-ev..."
4,Show technology or entrepreneurship meetups happening tomorrow in Austin.,"• Events near New York NY - https://www.meetup.com/find/?location=us--ny--n...
• Within 18 miles - https://www.meetup.com/find/?location=us--ny--n...
• Social Activities - https://www.meetup.com/find/?location=us--ny--n..."
5,List upcoming art and creativity festivals in Los Angeles next week.,"• Arts Culture\\ - [Luma Nyc Discovery Page]
• Arts Culture\\ - [Luma Nyc Discovery Page]"
6,Find generative AI hackathons hosted by universities in California.,"• Generative AI New York\\ - [Luma Austin Discovery Page]
• Matcha Vintage \ Dimatchai Pop-Up at KALEIDOS (Sat, Oct 25) - [Luma Nyc Discovery Page]
• GTC DC AI Pioneers Cocktail Reception (Mon, Oct 27) - [Luma Nyc Discovery Page]
• Agents for Impact - Hackathon at Howard University (Tue, Oct 28) - [Luma Nyc Discovery Page]"
7,Are there any mental health conferences taking place in November 2025?,• No matching events found
8,List events focused on renewable energy innovations this month.,"• Save this event Innovation Day Fall '25Share this event Innovation Day... - https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.c...
• Share this event Innovation Day Fall '25Save this event Innovation Day... - https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.c..."
9,Search for education and EdTech panels happening online this week.,"• New York · Verizon Executive Education Center (Tue, Nov 11) - https://www.eventbrite.com/e/urban-tech-summit-...
• New York · Verizon Executive Education Center (Tue, Nov 11) - https://www.eventbrite.com/e/urban-tech-summit-...
• Science Education - https://www.meetup.com/find/?location=us--ny--n...
• Science Education - https://www.meetup.com/find/?location=us--ca--s..."
10,Find music or cultural festivals related to sustainability and social change.,• No clear event titles found
11,Find AI or robotics events listed on Eventbrite for this week.,"• Save this event AI for EntrepreneursShare this event AI for Entreprene... - https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.c...
• Share this event AI for EntrepreneursSave this event AI for Entreprene... - https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.c...
• New York · SAINT RESTAURANT BAR SPEAKEASY (Thu, Nov 6) - https://www.eventbrite.com/e/tech-alley-nyc-x-s...
• New York · SAINT RESTAURANT BAR SPEAKEASY (Thu, Nov 6) - https://www.eventbrite.com/e/tech-alley-nyc-x-s...
• Save this event AI Tech Networking NewarkShare this event AI Tech Netw... - https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.c..."
