query_id,engine,response_time_ms,accuracy,coverage,source_diversity,freshness_ok
1,eventbrite,2199,0.0,0,0,0
1,luma,510,0.0,0,0,0
1,meetup,1864,0.0,0,0,0
1,who,152,0.0,0,0,0
1,un,201,0.0,0,0,0
1,ted,1158,0.0,0,0,0
2,eventbrite,2096,0.0,0,0,0
2,luma,462,0.0,0,0,0
2,meetup,2301,0.0,0,0,0
2,who,171,0.0,0,0,0
2,un,339,0.0,0,0,0
2,ted,670,0.0,0,0,0
3,eventbrite,2108,0.0,0,0,0
3,luma,415,0.0,0,0,0
3,meetup,2468,0.0,0,0,0
3,who,129,0.0,0,0,0
3,un,324,0.0,0,0,0
3,ted,676,0.0,0,0,0
4,eventbrite,2276,0.0,0,0,0
4,luma,415,0.0,0,0,0
4,meetup,1876,0.0,0,0,0
4,who,116,0.0,0,0,0
4,un,326,0.0,0,0,0
4,ted,671,0.0,0,0,0
5,eventbrite,3843,0.0,0,0,0
5,luma,410,0.0,0,0,0
5,meetup,1757,0.0,0,0,0
5,who,194,0.0,0,0,0
5,un,337,0.0,0,0,0
5,ted,718,0.0,0,0,0
6,eventbrite,404,0.0,0,0,0
6,luma,461,0.0,0,0,0
6,meetup,2276,0.0,0,0,0
6,who,110,0.0,0,0,0
6,un,343,0.0,0,0,0
6,ted,662,0.0,0,0,0
7,eventbrite,3302,0.0,0,0,0
7,luma,373,0.0,0,0,0
7,meetup,2619,0.05000000000000001,1,1,1
7,who,173,0.0,0,0,0
7,un,204,0.0,0,0,0
7,ted,706,0.0,0,0,0
8,eventbrite,459,0.0,0,0,0
8,luma,416,0.0,0,0,0
8,meetup,1855,0.05000000000000001,1,1,1
8,who,138,0.0,0,0,0
8,un,207,0.0,0,0,0
8,ted,682,0.0,0,0,0
9,eventbrite,451,0.0,0,0,0
9,luma,465,0.0,0,0,0
9,meetup,1793,0.0,0,0,0
9,who,137,0.0,0,0,0
9,un,330,0.0,0,0,0
9,ted,702,0.0,0,0,0
10,eventbrite,2283,0.0,0,0,0
10,luma,398,0.0,0,0,0
10,meetup,1772,0.0,0,0,0
10,who,190,0.0,0,0,0
10,un,210,0.0,0,0,0
10,ted,629,0.0,0,0,0
11,eventbrite,451,0.0,0,0,0
11,luma,459,0.0,0,0,0
11,meetup,1650,0.25000000000000006,5,1,5
11,who,118,0.0,0,0,0
11,un,246,0.0,0,0,0
11,ted,760,0.0,0,0,0
12,eventbrite,374,0.0,0,0,0
12,luma,438,0.0,0,0,0
12,meetup,2052,0.0,0,0,0
12,who,122,0.0,0,0,0
12,un,145,0.0,0,0,0
12,ted,671,0.0,0,0,0
13,eventbrite,3849,0.0,0,0,0
13,luma,433,0.0,0,0,0
13,meetup,1611,0.05000000000000001,1,1,1
13,who,154,0.0,0,0,0
13,un,234,0.0,0,0,0
13,ted,678,0.0,0,0,0
14,eventbrite,641,0.0,0,0,0
14,luma,410,0.0,0,0,0
14,meetup,1808,0.0,0,0,0
14,who,122,0.0,0,0,0
14,un,139,0.0,0,0,0
14,ted,653,0.1276595744680851,7,1,1
15,eventbrite,352,0.0,0,0,0
15,luma,496,0.0,0,0,0
15,meetup,2070,0.05000000000000001,1,1,1
15,who,225,0.0,0,0,0
15,un,245,0.0,0,0,0
15,ted,671,0.0,0,0,0
16,eventbrite,339,0.0,0,0,0
16,luma,437,0.0,0,0,0
16,meetup,2195,0.0,0,0,0
16,who,187,0.0,0,0,0
16,un,144,0.0,0,0,0
16,ted,590,0.0,0,0,0
17,eventbrite,843,0.0,0,0,0
17,luma,417,0.0,0,0,0
17,meetup,2612,0.0,0,0,0
17,who,115,0.0,0,0,0
17,un,253,0.0,0,0,0
17,ted,593,0.0,0,0,0
18,eventbrite,615,0.0,0,0,0
18,luma,397,0.0,0,0,0
18,meetup,1852,0.0,0,0,0
18,who,106,0.0,0,0,0
18,un,133,0.0,0,0,0
18,ted,578,0.0,0,0,0
19,eventbrite,324,0.0,0,0,0
19,luma,443,0.0,0,0,0
19,meetup,1862,0.0,0,0,0
19,who,149,0.0,0,0,0
19,un,153,0.0,0,0,0
19,ted,914,0.0,0,0,0
20,eventbrite,3244,0.0,0,0,0
20,luma,442,0.0,0,0,0
20,meetup,1873,0.09999999999999999,2,1,2
20,who,133,0.0,0,0,0
20,un,242,0.0,0,0,0
20,ted,647,0.0,0,0,0
