title,date,time,venue,city,price,link,source
Ai & Tech Mixer New York 2025,2025-10-30,6:00 PM,"Arlo Williamsburg, 96 Wythe Avenue",New York City,,https://www.eventbrite.com/e/ai-tech-mixer-new-york-2025-tickets-1749456323959,Eventbrite
Break into Tech - New York City,2025-10-30,6:30 PM,"Jay Suites Fifth Avenue, 15 West 38th Street",New York City,Free,https://www.eventbrite.com/e/break-into-tech-new-york-city-tickets-1664452525309,Eventbrite
Smart Technology Transformation in Healthcare,2025-10-30,9:00 AM,"NYC Conference Center at Cornell ILR, 570 Lexington Avenue #12th floor",New York City,,https://www.eventbrite.com/e/smart-technology-transformation-in-healthcare-tickets-1487065134849,Eventbrite
"NYC Tech Connect: Networking for Tech Startups, Investors, Professionals",2025-10-14,7:00 PM,"8 W 26th St, 8 West 26th Street",New York City,,https://www.eventbrite.com/e/nyc-tech-connect-networking-for-tech-startups-investors-professionals-tickets-1671337618809,Eventbrite
NYC Tech Mixer,2025-10-30,6:00 PM,"5th&Mad, 7 East 36th Street",New York City,From $19.64,https://www.eventbrite.com/e/nyc-tech-mixer-tickets-1755217937099,Eventbrite
New York Tech Career Fair: Exclusive Tech Hiring Event,2025-10-31,12:00 PM,Moved to Virtual Event,New York City,Free,https://www.eventbrite.com/e/new-york-tech-career-fair-exclusive-tech-hiring-event-tickets-146584912419,Eventbrite
NYC Private Investor Dinner,2025-10-30,5:30 PM,City Hall Area,New York City,,https://www.eventbrite.com/d/ny--new-york/free--business--events/technology-conferences/,Eventbrite
New York Tech & Finance Networking Event,2025-10-01,7:00 PM,Bar Hugo Rooftop,New York City,US$9.85 - US$21.05,https://www.eventbrite.ca/e/new-york-tech-finance-networking-event-tickets-1652776782849,Eventbrite
"Tech and Startup Mixer – Tech, Drinks and Startups!",2025-10-02,5:00 PM,,New York City,,https://lu.ma/nyc-networking,Luma
NY Tech Meetup October 2025,2025-10-13,,Civic Hall Union Square,New York City,,https://lu.ma/3cq4w4jl,Luma
